"public_traded","ticker","exchange","market_cap","revenue","no_employes","founding_date","location","related_domains","domain"
"Yes","THULE","NASDAQ Stockholm","$2.1 billion","$1.4 billion","2,400","1942","Malmö, Sweden","thule.com, thulegroup.com, thulestore.com, yakima.com, caselogic.com, gatemouth.com, brentwoodbags.com, thuleaccessories.com, thulesnowchains.com, thuletrailers.com, thuletowbars.com, thuleroofracks.com, thulecarriers.com, thulebikeracks.com, thulecargoboxes.com, thuleroofboxes.com, thuleskiracks.com, thulekayakracks.com, thulecampervans.com, thuletents.com, thulesleepingbags.com, thulebackpacks.com, thuleluggage.com, thuletravelbags.com, thulelaptopbags.com, thulecamerabags.com, thuleoutdoorgear.com, thulefishinggear.com, thulehuntinggear.com, thulecampinggear.com, thulehikinggear.com, thuleskiinggear.com, thulesnowboardinggear.com, thulekayakinggear.com, thulecanoeinggear.com, thulesailinggear.com, thuleboatinggear.com, thulefishinggear.com, thulehuntinggear.com, thuleoutdoorgear.com, thulecampinggear.com, thulehikinggear.com, thuleskiinggear.com, thulesnowboardinggear.com, thulekayakinggear.com, thulecanoeinggear.com, thulesailinggear.com, thuleboatinggear.com","thule.com"
"No",NA,NA,NA,NA,NA,"2015","San Francisco, CA","kommandostore.com","kommandostore.com"
"No",NA,NA,NA,NA,NA,NA,NA,NA,"dungarees.com"
"No",NA,NA,NA,NA,NA,"1983","Omaha, Nebraska","orientaltrading.com","orientaltrading.com"
"No",NA,NA,NA,NA,NA,"2009","New York City, NY","myka.com, myka.ai, mykahealth.com, myka.io, myka.care","myka.com"
"No",NA,NA,NA,NA,NA,"2008","Vilnius, Lithuania","vinted.com, vinted.co.uk, vinted.fr, vinted.es, vinted.de, vinted.nl, vinted.be, vinted.pl, vinted.cz, vinted.lu, vinted.at, vinted.it, vinted.pt, vinted.se, vinted.dk, vinted.fi, vinted.ie, vinted.no","vinted.com"
"No",NA,NA,NA,NA,NA,"2006","Singapore","lovebonito.com, lovebonito.sg, lovebonito.my, lovebonito.co.th, lovebonito.co.id, lovebonito.ph, lovebonito.vn, lovebonito.hk, lovebonito.jp, lovebonito.tw, lovebonito.kr, lovebonito.cn, lovebonito.com.au, lovebonito.global","lovebonito.com"
"No",NA,NA,NA,NA,NA,"2015","Gurugram, Haryana, India","boodmo.com, boodmo.in","boodmo.com"
"No",NA,NA,NA,NA,NA,"2004","Minnetonka, MN","greatbigcanvas.com","greatbigcanvas.com"
"No",NA,NA,NA,NA,NA,NA,NA,"atlanticfirearms.com","atlanticfirearms.com"
"No",NA,NA,NA,NA,NA,"2011","Austin, Texas","onnit.com","onnit.com"
"No",NA,NA,NA,NA,NA,"1999","Lindon, Utah","mypatriotsupply.com, mypatriotsupply.org, mypatriotsupply.net, mypatriotsupply.info, mypatriotsupply.biz, mypatriotsupply.co, mypatriotsupply.us, mypatriotsupply.ca, mypatriotsupply.mx, mypatriotsupply.eu","mypatriotsupply.com"
"No",NA,NA,NA,NA,NA,"2013","Los Angeles, California","cratejoy.com","cratejoy.com"
"No",NA,NA,NA,NA,NA,"2003","Boulder, Colorado","sparkfun.com","sparkfun.com"
"No",NA,NA,NA,NA,NA,"1992","Milwaukee, Wisconsin","mycomicshop.com","mycomicshop.com"
"No",NA,NA,NA,NA,NA,"2010","Auckland, New Zealand","grabone.co.nz, grabone.com.au, grabone.co.uk","grabone.co.nz"
"No",NA,NA,NA,NA,NA,"1999","St. Louis, Missouri","dressforless.com","dressforless.de"
"No",NA,NA,NA,NA,NA,"1942","Minneapolis, MN","gracobaby.com","gracobaby.com"
"No",NA,NA,NA,NA,NA,"2006","Gold Coast, Australia","princesspolly.com, princesspolly.co.uk, princesspolly.eu, princesspolly.com.au","princesspolly.com"
"No",NA,NA,NA,NA,NA,"2009","San Francisco, CA","tatcha.com, tatchabeauty.com, tatcha.co.jp, tatcha.cn, tatcha.com.hk, tatcha.com.sg, tatcha.com.tw, tatcha.com.au, tatcha.de, tatcha.fr, tatcha.it, tatcha.es, tatcha.nl, tatcha.be, tatcha.se, tatcha.dk, tatcha.fi, tatcha.no, tatcha.ie, tatcha.co.uk","tatcha.com"
"No",NA,NA,NA,NA,NA,"1851","Paris, France","louisvuitton.com","louis.de"
"No",NA,NA,NA,NA,NA,"2002","Tempe, Arizona","mobilesentrix.com","mobilesentrix.com"
"No",NA,NA,NA,NA,NA,"2003",NA,"scrapbook.com","scrapbook.com"
"No",NA,NA,NA,NA,NA,"2007","Austin, Texas","kieljamespatrick.com","kieljamespatrick.com"
"No",NA,NA,NA,NA,NA,"2002","Los Angeles, CA","smosh.com","smosh.com"
"No",NA,NA,NA,NA,NA,NA,NA,NA,"july.com"
"No",NA,NA,NA,NA,NA,"2012","New York City, NY","lumedeodorant.com","lumedeodorant.com"
"No",NA,NA,NA,NA,NA,"2014","London, UK","themacallan.com","themacallan.com"
"No",NA,NA,NA,NA,NA,"2015","San Francisco, CA","eschuhe.com","eschuhe.de"
"No",NA,NA,NA,NA,NA,"1998","Lemgo, Germany","abelssoft.com, abelssoft.de, abelssoft.net, abelssoft.org, abelssoft.info","abelssoft.de"
"No",NA,NA,NA,NA,NA,"1897","Mannheim, Germany","engelhorn.de, engelhornfashion.de, engelhornautomotive.de, engelhornsolutions.de, engelhornimmobilien.de, engelhornfashiongroup.com","engelhorn.de"
"No",NA,NA,NA,NA,NA,"1983","Neckarsulm, Germany","bechtle.com, bechtleitsystemhouse.de, bechtledirect.de, bechtlesystemhaus.de, bechtlecomsoft.de, bechtlesecurity.de, bechtlecloud.de, bechtleitservices.de, bechtleitconsulting.de, bechtleitinfrastructure.de","bechtle.com"
"No",NA,NA,NA,NA,NA,"2009","Rockville, Maryland","rockvilleaudio.com","rockvilleaudio.com"
"No",NA,NA,NA,NA,NA,"2013","Shenzhen, China","yamibuy.com, yamibuy.net","yamibuy.com"
"No",NA,NA,NA,NA,NA,"1999","Seattle, WA","seattlecoffeegear.com, scgwholesale.com, coffeesnobs.com.au","seattlecoffeegear.com"
"No",NA,NA,NA,NA,NA,"1996","Berlin, Germany","flaschenpost.de, flaschenpost.com, flaschenpost.at, flaschenpost.ch, flaschenpost.nl","flaschenpost.de"
"No",NA,NA,NA,NA,"850","1892","Oakland, California","sierraclub.org, sierraclub.com, sierraclubfoundation.org, planetforward.org, sierrastudentcoalition.org","sierraclub.org"
"Yes","PSSA3","B3 (Brazil)","R$10.5 billion","R$14.7 billion","13,000","1945","São Paulo, Brazil","portoseguro.com.br, portoseguro.com.co, portoseguro.com.ar, portoseguro.com.uy, portoseguro.com.py, portoseguro.com.pa, portoseguro.com.do","portoseguro.com.br"
"No",NA,NA,NA,NA,NA,"2010","London, UK","ohpolly.com, ohpolly.co.uk, ohpolly.eu, ohpolly.com.au, ohpolly.ca","ohpolly.com"
"No",NA,NA,NA,NA,NA,"1952","Paris, France","givenchy.com, givenchybeauty.com, givenchyparfums.com, givenchy.cn, givenchy.co.uk, givenchy.de, givenchy.fr, givenchy.it, givenchy.jp, givenchy.ru","givenchy.com"
"No",NA,NA,NA,NA,NA,"2003","Helsinki, Finland","finnishdesignshop.com","finnishdesignshop.com"
"No",NA,NA,NA,NA,NA,"2007","Seattle, WA","radpowerbikes.com, radpowerbikes.eu, radpowerbikes.ca, radpowerbikes.com.au, radpowerbikes.co.uk","radpowerbikes.com"
"No",NA,NA,NA,NA,NA,"1993","San Francisco, CA","shoepalace.com","shoepalace.com"
"No",NA,NA,NA,NA,NA,"2013","Dubai, United Arab Emirates","dubaro.com","dubaro.de"
"No",NA,NA,NA,NA,NA,NA,NA,"edelmetallhandel.de","edelmetallhandel.de"
"No",NA,NA,NA,NA,NA,"1999","Irvine, California","avasflowers.com, avasflowers.ca, avasflowers.co.uk, avasflowers.com.au, avasflowers.de, avasflowers.fr, avasflowers.nl","avasflowers.net"
"No",NA,NA,NA,NA,NA,"2006","San Francisco, CA","tgw.com","tgw.com"
"No",NA,NA,NA,NA,NA,"1999","Munich, Germany","leebmann24.de, leebmann24.com, leebmann24.at, leebmann24.ch, leebmann24.it, leebmann24.fr, leebmann24.es, leebmann24.nl, leebmann24.be, leebmann24.se, leebmann24.dk, leebmann24.no, leebmann24.fi, leebmann24.ee, leebmann24.lv, leebmann24.lt, leebmann24.pl, leebmann24.cz, leebmann24.sk, leebmann24.hu, leebmann24.ro, leebmann24.gr, leebmann24.cy, leebmann24.mt, leebmann24.pt, leebmann24.lu, leebmann24.ie, leebmann24.uk, leebmann24.us, leebmann24.ca, leebmann24.mx, leebmann24.co.uk, leebmann24.fr, leebmann24.es, leebmann24.it, leebmann24.nl, leebmann24.be, leebmann24.se, leebmann24.dk, leebmann24.no, leebmann24.fi, leebmann24.ee, leebmann24.lv, leebmann24.lt, leebmann24.pl, leebmann24.cz, leebmann24.sk, leebmann24.hu, leebmann24.ro, leebmann24.gr, leebmann24.cy, leebmann24.mt, leebmann24.pt, leebmann24.lu, leebmann24.ie, leebmann24.uk, leebmann24.us, leebmann24.ca, leebmann24.mx","leebmann24.de"
"No",NA,NA,NA,NA,NA,"2015","Los Angeles, California","patmcgrath.com, patmcgrathlabs.com, patmcgrathreal.com, patmcgrathmasterclass.com","patmcgrath.com"
"No",NA,NA,NA,NA,NA,"1983","Portland, Oregon","leatherman.com","leatherman.com"
"No",NA,NA,NA,NA,NA,"2015","London, UK","timeandtidewatches.com","timeandtidewatches.com"
"No",NA,NA,NA,NA,NA,"1967","San Diego, CA","gordonelectricsupply.com","gordonelectricsupply.com"
"No",NA,NA,NA,NA,NA,"1954","Arlington Heights, IL","marianos.com","marianos.com"
"No",NA,NA,NA,NA,NA,"1998","Bellevue, WA","pennyarcade.com","pennyarcade.com"
"No",NA,NA,NA,NA,NA,"1999","San Jose, California","cvp.com","cvp.com"
"No",NA,NA,NA,NA,NA,"1971","Canonsburg, Pennsylvania","allclad.com, allclad.com.au, allclad.co.uk, allclad.co.jp, allclad.com.hk, allclad.com.cn, allclad.com.sg, allclad.com.tw, allclad.com.mx, allclad.com.br, allclad.com.ar, allclad.com.cl, allclad.com.co, allclad.com.pe, allclad.com.ec, allclad.com.uy, allclad.com.py","allclad.com"
"No",NA,NA,NA,NA,NA,"2005","Paris, France","venum.com, venumfight.com, venumgear.com, venumstore.com","venum.com"
"No",NA,NA,NA,NA,NA,"2013","New York City, NY","todaytix.com","todaytix.com"
"No",NA,NA,NA,NA,NA,NA,"New York, NY","carewell.com","carewell.com"
"No",NA,NA,NA,NA,NA,"1989","Boca Raton, FL","saloncentric.com, saloncentricpro.com, saloncentricacademy.com, saloncentrichelp.com, saloncentriccareers.com, saloncentricmobile.com, saloncentricstore.com, saloncentricsupplies.com, saloncentricuniversity.com, saloncentricvendor.com, saloncentricwholesale.com","saloncentric.com"
"No",NA,NA,NA,NA,NA,"2012",NA,"spoonfulofcomfort.com, spoonfulofcomfort.org","spoonfulofcomfort.com"
"No",NA,NA,NA,NA,NA,"1974","Benicia, CA","cyclegear.com","cyclegear.com"
"No",NA,NA,NA,NA,NA,"1735","Mount Vernon, Virginia","mountvernon.org","mountvernon.org"
"No",NA,NA,NA,NA,NA,"1971","London, England","viviennewestwood.com, vwarchive.com, viviennewestwood.co.uk, viviennewestwood.eu, viviennewestwood.fr, viviennewestwood.de, viviennewestwood.it, viviennewestwood.es, viviennewestwood.jp, viviennewestwood.com.cn","viviennewestwood.com"
"No",NA,NA,NA,NA,NA,"2010","Reno, Nevada","rkguns.com","rkguns.com"
"No",NA,NA,NA,NA,NA,"1996","Los Angeles, CA","eberjey.com","eberjey.com"
"No",NA,NA,NA,NA,NA,"1974","Grand Junction, Colorado","marmot.com","marmot.com"
"No",NA,NA,NA,NA,NA,"1977","Warwick, RI","oceanstatejoblot.com","oceanstatejoblot.com"
"No",NA,NA,NA,NA,NA,"1996","Singapore","charleskeith.com, pedro.com, charleskeith.com.sg, charleskeith.com.my, charleskeith.co.th, charleskeith.co.id, charleskeith.com.ph, charleskeith.com.vn, charleskeith.co.nz, charleskeith.com.tw, charleskeith.co.uk, charleskeith.eu, charleskeith.com.au, charleskeith.ca, charleskeith.com.hk, charleskeith.co.jp, charleskeith.com.kr, charleskeith.com.cn, charleskeith.com.mx, charleskeith.com.tr, charleskeith.com.sa, charleskeith.com.qa, charleskeith.com.kw, charleskeith.com.om, charleskeith.com.bh, charleskeith.com.ae, charleskeith.com.jo, charleskeith.com.lb, charleskeith.com.iq, charleskeith.com.sy, charleskeith.com.ye, charleskeith.com.ps, charleskeith.com.dz, charleskeith.com.tn, charleskeith.com.ma, charleskeith.com.eg, charleskeith.com.ly, charleskeith.com.sd, charleskeith.com.ss, charleskeith.com.er, charleskeith.com.dj, charleskeith.com.km, charleskeith.com.mw, charleskeith.com.mz, charleskeith.com.na, charleskeith.com.za, charleskeith.com.zm, charleskeith.com.bw, charleskeith.com.ls, charleskeith.com.sz, charleskeith.com.ug, charleskeith.com.rw, charleskeith.com.bi, charleskeith.com.tz, charleskeith.com.ke, charleskeith.com.et, charleskeith.com.so, charleskeith.com.dj, charleskeith.com.km, charleskeith.com.mw, charleskeith.com.mz, charleskeith.com.na, charleskeith.com.za, charleskeith.com.zm, charleskeith.com.bw, charleskeith.com.ls, charleskeith.com.sz, charleskeith.com.ug, charleskeith.com.rw, charleskeith.com.bi, charleskeith.com.tz, charleskeith.com.ke, charleskeith.com.et, charleskeith.com.so, charleskeith.com.gh, charleskeith.com.ng, charleskeith.com.ci, charleskeith.com.sn, charleskeith.com.bf, charleskeith.com.ne, charleskeith.com.ml, charleskeith.com.td, charleskeith.com.cf, charleskeith.com.cg, charleskeith.com.ga, charleskeith.com.gq, charleskeith.com.st, charleskeith.com.cv, charleskeith.com.ao, charleskeith.com.gw, charleskeith.com.sl, charleskeith.com.lr, charleskeith.com.gn, charleskeith.com.gm, charleskeith.com.sv, charleskeith.com.gt, charleskeith.com.hn, charleskeith.com.ni, charleskeith.com.cr, charleskeith.com.pa, charleskeith.com.co, charleskeith.com.ec, charleskeith.com.pe, charleskeith.com.bo, charleskeith.com.py, charleskeith.com.uy, charleskeith.com.ar, charleskeith.com.br, charleskeith.com.cl, charleskeith.com.ve, charleskeith.com.pe, charleskeith.com.bo, charleskeith.com.py, charleskeith.com.uy, charleskeith.com.ar, charleskeith.com.br, charleskeith.com.cl, charleskeith.com.ve, charleskeith.com.pe, charleskeith.com.bo, charleskeith.com.py, charleskeith.com.uy, charleskeith.com.ar, charleskeith.com.br, charleskeith.com.cl, charleskeith.com.ve","charleskeith.com"
"No",NA,NA,NA,NA,NA,"2006","Hamburg, Germany","loberon.com, loberon.de, loberon.at, loberon.ch, loberon.nl, loberon.be, loberon.fr, loberon.es, loberon.it, loberon.pl, loberon.se, loberon.dk, loberon.no, loberon.fi, loberon.cz, loberon.hu, loberon.sk, loberon.ro, loberon.bg, loberon.gr, loberon.cy, loberon.lv, loberon.lt, loberon.ee, loberon.hr, loberon.si, loberon.ba, loberon.mk, loberon.rs, loberon.me, loberon.al, loberon.kz, loberon.uz, loberon.tj, loberon.kg, loberon.az, loberon.am, loberon.ge, loberon.by, loberon.md, loberon.ua, loberon.ru, loberon.by, loberon.kz, loberon.uz, loberon.tj, loberon.kg, loberon.az, loberon.am, loberon.ge, loberon.by, loberon.md, loberon.ua, loberon.ru, loberon.by, loberon.kz, loberon.uz, loberon.tj, loberon.kg, loberon.az, loberon.am, loberon.ge, loberon.by, loberon.md, loberon.ua, loberon.ru","loberon.de"
"No",NA,NA,NA,NA,NA,"1938","Torrance, California","edelbrock.com","edelbrock.com"
"No",NA,NA,NA,NA,NA,NA,"Bentonville, Arkansas","walmartchecks.com","walmartchecks.com"
"No",NA,NA,NA,NA,NA,"1880","London, United Kingdom","russellandbromley.co.uk","russellandbromley.co.uk"
"No",NA,NA,NA,NA,NA,"1982","Salt Lake City, Utah","sewingmachinesplus.com","sewingmachinesplus.com"
"Yes","SDC","Nasdaq","$1.04B","$508.6M",NA,"2014","Nashville, TN","smiledirectclub.com, sdcpatients.com, sdcpatients.co.uk, sdcpatients.ca, sdcpatients.au, sdcpatients.de, sdcpatients.fr, sdcpatients.ie, sdcpatients.mx, sdcpatients.nl, sdcpatients.nz, sdcpatients.es, sdcpatients.se, sdcpatients.ch","smiledirectclub.com"
"No",NA,NA,NA,NA,NA,"1946","Indianapolis, Indiana","klipsch.com","klipsch.com"
"No",NA,NA,NA,NA,NA,"2003","San Antonio, TX","goldsilbershop.com, goldsilbershop.com.au, goldsilbershop.de, goldsilbershop.eu, goldsilbershop.fr, goldsilbershop.it, goldsilbershop.nl, goldsilbershop.sg, goldsilbershop.uk","goldsilbershop.de"
"No",NA,NA,NA,NA,NA,NA,NA,"ems.com, ems1.com, emsworld.com, emsresponder.com, jems.com, firehouse.com, policemag.com, corrections1.com, healthcarebusiness.com, govtech.com, cygnus.com, key2benefits.com, key2compliance.com, key2government.com, key2health.com, key2infrastructure.com, key2learning.com, key2procurement.com, key2sustainability.com, key2technology.com, key2workforce.com, key2water.com, key2waste.com","ems.com"
"No",NA,NA,NA,NA,"100+","2001","Irvine, CA","gotprint.com","gotprint.com"
"No",NA,NA,NA,NA,NA,NA,NA,"topshelfwineandspirits.com","topshelfwineandspirits.com"
"No",NA,NA,NA,NA,NA,"1985","New York City, New York","clubmonaco.com","clubmonaco.com"
"No",NA,NA,NA,NA,NA,"1993","St. Louis, MO","miniaturemarket.com","miniaturemarket.com"
"No",NA,NA,NA,NA,NA,"1885","Atlanta, Georgia","havertys.com","havertys.com"
"No",NA,NA,NA,NA,NA,"1954","Palm Beach, Florida","lillypulitzer.com, lillypulitzer.eu, lillypulitzer.ca, lillypulitzer.com.au, lillypulitzer.hk","lillypulitzer.com"
"No",NA,NA,NA,NA,NA,"2015","Austin, TX","lttstore.com, linustechtips.com","lttstore.com"
"No",NA,NA,NA,NA,NA,NA,NA,"obsbygg.no","obsbygg.no"
"No",NA,NA,NA,NA,NA,"1993","New York City, New York","briggsriley.com","briggsriley.com"
"No",NA,NA,NA,NA,NA,"1999","Melbourne, Australia","roveconcepts.com","roveconcepts.com"
"No",NA,NA,NA,NA,NA,"1985","San Diego, CA","shore.com","shore.com"
"No",NA,NA,NA,NA,NA,"2019","Mountain View, CA","kaiyo.com","kaiyo.com"
"No",NA,NA,NA,NA,NA,"2018","Chicago, IL","mychicagosteak.com","mychicagosteak.com"
"No",NA,NA,NA,NA,NA,"2008","New York City, NY","propercloth.com","propercloth.com"
"No",NA,NA,NA,NA,NA,"2011","Twin Falls, Idaho","planttherapy.com, planttherapy.co.uk, planttherapy.ca, planttherapy.eu, planttherapy.com.au","planttherapy.com"
"No",NA,NA,NA,NA,NA,NA,NA,NA,"glasses.com"
"No",NA,NA,NA,NA,NA,"2008","Berlin, Germany","korodrogerie.de","korodrogerie.de"
"No",NA,NA,NA,NA,NA,"1998","Winnipeg, Manitoba, Canada","linenchest.com","linenchest.com"
"No",NA,NA,NA,NA,NA,"1987","Oklahoma City, OK","covercraft.com, covercraftindustries.com, covercraftcarcovers.com","covercraft.com"
"No",NA,NA,NA,NA,NA,"2016","San Francisco, California","shopwss.com, shopwss.net, shopwss.org","shopwss.com"
"No",NA,NA,NA,NA,NA,"1981","Minneapolis, MN","northerntool.com","northerntool.com"
"No",NA,NA,NA,NA,NA,NA,NA,"missouriquiltco.com","missouriquiltco.com"
"No",NA,NA,NA,NA,NA,"1994","London, England","jomalone.com, jomalonelondon.com, jomaloneusa.com, jomalone.co.uk, jomalone.de, jomalone.fr, jomalone.es, jomalone.it, jomalone.nl, jomalone.be, jomalone.lu, jomalone.at, jomalone.ch, jomalone.se, jomalone.dk, jomalone.no, jomalone.fi, jomalone.ie, jomalone.ru, jomalone.cn, jomalone.jp, jomalone.kr, jomalone.tw, jomalone.hk, jomalone.sg, jomalone.my, jomalone.th, jomalone.id, jomalone.vn, jomalone.ph, jomalone.co.nz, jomalone.com.au","jomalone.com"
"No",NA,NA,NA,NA,NA,"1996","Austin, TX","foco.com, foco.tv, foco.eu, foco.com.au","foco.com"
"No",NA,NA,NA,NA,NA,"1987","Eugene, Oregon","mountainroseherbs.com, mountainroseherbs.eu, mountainroseherbs.ca","mountainroseherbs.com"
"No",NA,NA,NA,NA,NA,"1983","Hauppauge, NY","buydig.com","buydig.com"
"No",NA,NA,NA,NA,NA,"2003","Edmonton, Canada","robotshop.com, robotshop.eu, robotshop.ca, robotshop.co.jp, robotshop.de, robotshop.fr, robotshop.it, robotshop.mx, robotshop.nl, robotshop.pl, robotshop.pt, robotshop.ru, robotshop.se, robotshop.sg, robotshop.uk","robotshop.com"
"No",NA,NA,NA,NA,NA,"2014",NA,"simplenursing.com","simplenursing.com"
"No",NA,NA,NA,NA,NA,"2014","San Diego, CA","mancrates.com","mancrates.com"
"No",NA,NA,NA,NA,NA,"2015","Santa Ana, California","saferwholesale.com, saferwholesale.net","saferwholesale.com"
"No",NA,NA,NA,NA,NA,"1998","Boise, Idaho","eurooptic.com","eurooptic.com"
"No",NA,NA,NA,NA,NA,"2012","San Francisco, CA","esprovisions.com","esprovisions.com"
"No",NA,NA,NA,NA,NA,"1990","Gennevilliers, France","thrustmaster.com","thrustmaster.com"
"No",NA,NA,NA,NA,NA,"1987","Chicago, Illinois","papersource.com, papersource.ca, papersourceweddings.com, papersourcepro.com, papersource.co.uk, papersource.de, papersource.fr, papersource.es, papersource.it, papersource.nl, papersource.be, papersource.lu, papersource.at, papersource.ch, papersource.se, papersource.dk, papersource.no, papersource.fi, papersource.ee, papersource.lt, papersource.lv, papersource.pl, papersource.cz, papersource.sk, papersource.hu, papersource.ro, papersource.bg, papersource.rs, papersource.mk, papersource.al, papersource.gr, papersource.cy, papersource.mt, papersource.ie, papersource.pt, papersource.es, papersource.fr, papersource.de, papersource.at, papersource.ch, papersource.se, papersource.dk, papersource.no, papersource.fi, papersource.ee, papersource.lt, papersource.lv, papersource.pl, papersource.cz, papersource.sk, papersource.hu, papersource.ro, papersource.bg, papersource.rs, papersource.mk, papersource.al, papersource.gr, papersource.cy, papersource.mt, papersource.ie, papersource.pt, papersource.es, papersource.fr, papersource.de, papersource.at, papersource.ch, papersource.se, papersource.dk, papersource.no, papersource.fi, papersource.ee, papersource.lt, papersource.lv, papersource.pl, papersource.cz, papersource.sk, papersource.hu, papersource.ro, papersource.bg, papersource.rs, papersource.mk, papersource.al, papersource.gr, papersource.cy, papersource.mt, papersource.ie, papersource.pt","papersource.com"
"No",NA,NA,NA,NA,NA,"2002","London, UK","lovehoney.com","lovehoney.com"
"No",NA,NA,NA,NA,NA,"2018","San Francisco, CA","higherdose.com","higherdose.com"
"No",NA,NA,NA,NA,NA,"2008","Los Angeles, CA","morphe.com, morphebrushes.com, morphebrushes.co.uk, morphebrushes.de, morphebrushes.fr, morphebrushes.es, morphebrushes.it, morphebrushes.nl, morphebrushes.be, morphebrushes.se, morphebrushes.dk, morphebrushes.fi, morphebrushes.no, morphebrushes.pl, morphebrushes.cz, morphebrushes.sk, morphebrushes.hu, morphebrushes.ro, morphebrushes.bg, morphebrushes.gr, morphebrushes.cy, morphebrushes.mt, morphebrushes.lu, morphebrushes.ie, morphebrushes.pt, morphebrushes.at, morphebrushes.ch, morphebrushes.li, morphebrushes.mc, morphebrushes.sm, morphebrushes.va, morphebrushes.ad, morphebrushes.gi, morphebrushes.je, morphebrushes.gg, morphebrushes.im, morphebrushes.ky, morphebrushes.ms, morphebrushes.vg, morphebrushes.ai, morphebrushes.ag, morphebrushes.aw, morphebrushes.bb, morphebrushes.bz, morphebrushes.bm, morphebrushes.bs, morphebrushes.cr, morphebrushes.dm, morphebrushes.sv, morphebrushes.gd, morphebrushes.gp, morphebrushes.gy, morphebrushes.ht, morphebrushes.hn, morphebrushes.jm, morphebrushes.kn, morphebrushes.lc, morphebrushes.mq, morphebrushes.ms, morphebrushes.ni, morphebrushes.pa, morphebrushes.pr, morphebrushes.kn, morphebrushes.lc, morphebrushes.mq, morphebrushes.ms, morphebrushes.ni, morphebrushes.pa, morphebrushes.pr, morphebrushes.sx, morphebrushes.tc, morphebrushes.tt, morphebrushes.vc, morphebrushes.vi, morphebrushes.ky, morphebrushes.ms, morphebrushes.vg, morphebrushes.ai, morphebrushes.ag, morphebrushes.aw, morphebrushes.bb, morphebrushes.bz, morphebrushes.bm, morphebrushes.bs, morphebrushes.cr, morphebrushes.dm, morphebrushes.sv, morphebrushes.gd, morphebrushes.gp, morphebrushes.gy, morphebrushes.ht, morphebrushes.hn, morphebrushes.jm, morphebrushes.kn, morphebrushes.lc, morphebrushes.mq, morphebrushes.ms, morphebrushes.ni, morphebrushes.pa, morphebrushes.pr, morphebrushes.sx, morphebrushes.tc, morphebrushes.tt, morphebrushes.vc, morphebrushes.vi, morphebrushes.ws","morphe.com"
"No",NA,NA,NA,NA,NA,"2004","Los Angeles, CA","chicosofftherack.com","chicosofftherack.com"
"No",NA,NA,NA,NA,NA,"2018","New York City","thuma.co","thuma.co"
"No",NA,NA,NA,NA,NA,"1995","Scottsdale, AZ","discounttiredirect.com","discounttiredirect.com"
"No",NA,NA,NA,NA,NA,"1997","Duluth, MN","vanceoutdoors.com","vanceoutdoors.com"
"No",NA,NA,NA,NA,NA,"1980","Madison, Wisconsin","subzerowolf.com, subzero.com, wolfgangpuck.com, coveappliances.com, askoappliances.com","subzerowolf.com"
"No",NA,NA,NA,NA,NA,"2017","Berlin, Germany","wirwinzer.de","wirwinzer.de"
"No",NA,NA,NA,NA,NA,"1955","Chemnitz, Germany","babywalz.de, babywalz.at, babywalz.ch","babywalz.de"
"No",NA,NA,NA,NA,NA,"1992","Madrid, Spain","casando.com","casando.de"
"No",NA,NA,NA,NA,NA,"1998","San Mateo, CA","wiggle.com","wiggle.com"
"No",NA,NA,NA,NA,NA,"1981","London, England","doverstreetmarket.com, doverstreetmarket.jp, doverstreetmarket.com.hk, doverstreetmarket.sg, doverstreetmarket.us","doverstreetmarket.com"
"No",NA,NA,NA,NA,NA,"1962","Hamburg, Germany","tomtailor.com, tomtailor.de, tomtailor.eu","tomtailor.de"
"No",NA,NA,NA,NA,NA,NA,"Berlin, Germany","atpautoteile.de","atpautoteile.de"
"No",NA,NA,NA,NA,NA,"2011","San Francisco, CA","bloomnation.com","bloomnation.com"
"No",NA,NA,NA,NA,NA,"1999","Santa Cruz, CA","johnnieo.com","johnnieo.com"
"No",NA,NA,NA,NA,NA,NA,NA,NA,"grube.de"
"No",NA,NA,NA,NA,NA,"2008","New York City, New York","lightboxjewelry.com","lightboxjewelry.com"
"No",NA,NA,NA,NA,NA,"2010","San Francisco, California","theproscloset.com","theproscloset.com"
"No",NA,NA,NA,NA,NA,"1998","Seattle, WA","pajamagram.com, pajamagram.co.uk, pajamagram.de, pajamagram.fr, pajamagram.ca, pajamagram.com.au","pajamagram.com"
"No",NA,NA,NA,NA,NA,"2009","Miami, FL","fortadorusa.com","fortadorusa.com"
"No",NA,NA,NA,NA,NA,"2019","Fremont, California","youtooz.com, youtooz.eu, youtooz.jp, youtooz.au","youtooz.com"
"No",NA,NA,NA,NA,NA,"2015","San Francisco, CA","fractureme.com","fractureme.com"
"No",NA,NA,NA,NA,NA,"1957","Ulm, Germany","liquimoly.com, liquimoly.de, liquimoly.fr, liquimoly.it, liquimoly.es, liquimoly.com.br, liquimoly.ru, liquimoly.com.cn, liquimoly.com.au, liquimoly.co.za","liquimoly.com"
"No",NA,NA,NA,NA,NA,"1998","Dallas, Texas","kidkraft.com","kidkraft.com"
"No",NA,NA,NA,NA,NA,NA,"Paris, France","meilleurduchef.com","meilleurduchef.com"
"No",NA,NA,NA,NA,NA,NA,NA,NA,"azerty.nl"
"No",NA,NA,NA,NA,NA,"2010",NA,"jennifermaker.com","jennifermaker.com"
"No",NA,NA,NA,NA,NA,NA,NA,"marinelayer.com","marinelayer.com"
